<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.01.03	1.13693	1.13778	1.12795	1.12971	53813	0	0
2022.01.04	1.12961	1.13226	1.12723	1.12862	62525	0	0
2022.01.05	1.12852	1.13466	1.12765	1.13135	61289	0	0
2022.01.06	1.13111	1.13316	1.12846	1.12976	67251	0	0
2022.01.07	1.12960	1.13647	1.12901	1.13590	49836	0	0
2022.01.10	1.13550	1.13599	1.12853	1.13252	53457	0	0
2022.01.11	1.13230	1.13753	1.13131	1.13666	49386	0	0
2022.01.12	1.13655	1.14528	1.13545	1.14411	51872	0	0
2022.01.13	1.14402	1.14817	1.14357	1.14539	53078	0	0
2022.01.14	1.14531	1.14829	1.13987	1.14151	59882	0	0
2022.01.17	1.14117	1.14342	1.13915	1.14062	34611	0	0
2022.01.18	1.14062	1.14216	1.13147	1.13258	68363	0	0
2022.01.19	1.13249	1.13569	1.13163	1.13420	58174	0	0
2022.01.20	1.13393	1.13689	1.13031	1.13108	59448	0	0
2022.01.21	1.13092	1.13597	1.13010	1.13421	60447	0	0
2022.01.24	1.13371	1.13447	1.12906	1.13254	70762	0	0
2022.01.25	1.13226	1.13280	1.12632	1.13006	63243	0	0
2022.01.26	1.12991	1.13108	1.12354	1.12405	75069	0	0
2022.01.27	1.12404	1.12431	1.11313	1.11444	83832	0	0
2022.01.28	1.11428	1.11737	1.11214	1.11469	78407	0	0
2022.01.31	1.11406	1.12477	1.11378	1.12333	74328	0	0
2022.02.01	1.12315	1.12786	1.12208	1.12718	72903	0	0
2022.02.02	1.12715	1.13301	1.12667	1.13035	61143	0	0
2022.02.03	1.13018	1.14513	1.12665	1.14392	97250	0	0
2022.02.04	1.14389	1.14836	1.14116	1.14514	96664	0	0
2022.02.07	1.14573	1.14614	1.14151	1.14419	76500	0	0
2022.02.08	1.14411	1.14486	1.13958	1.14163	67506	0	0
2022.02.09	1.14127	1.14479	1.14025	1.14233	59971	0	0
2022.02.10	1.14210	1.14950	1.13748	1.14275	98683	0	0
2022.02.11	1.14263	1.14291	1.13297	1.13477	110096	0	0
2022.02.14	1.13376	1.13688	1.12800	1.13058	108728	0	0
2022.02.15	1.13032	1.13683	1.12990	1.13582	87080	0	0
2022.02.16	1.13568	1.13955	1.13448	1.13722	77435	0	0
2022.02.17	1.13713	1.13857	1.13229	1.13608	98839	0	0
2022.02.18	1.13580	1.13769	1.13139	1.13227	76510	0	0
2022.02.21	1.13145	1.13907	1.13064	1.13093	55985	0	0
2022.02.22	1.13070	1.13670	1.12878	1.13241	102907	0	0
2022.02.23	1.13246	1.13588	1.13012	1.13051	64439	0	0
2022.02.24	1.13023	1.13086	1.11063	1.11919	171175	0	0
2022.02.25	1.11908	1.12735	1.11659	1.12716	113512	0	0
2022.02.28	1.11295	1.12464	1.11245	1.12178	138468	0	0
2022.03.01	1.12177	1.12331	1.10897	1.11229	114181	0	0
2022.03.02	1.11248	1.11434	1.10574	1.11184	129648	0	0
2022.03.03	1.11160	1.11205	1.10332	1.10659	99725	0	0
2022.03.04	1.10651	1.10679	1.08852	1.09305	129366	0	0
2022.03.07	1.09255	1.09324	1.08060	1.08533	166436	0	0
2022.03.08	1.08511	1.09583	1.08471	1.09014	158841	0	0
2022.03.09	1.08960	1.10961	1.08896	1.10750	116644	0	0
2022.03.10	1.10729	1.11213	1.09758	1.09859	125689	0	0
2022.03.11	1.09845	1.10434	1.09021	1.09137	113278	0	0
2022.03.14	1.09155	1.09938	1.09004	1.09447	103181	0	0
2022.03.15	1.09416	1.10200	1.09260	1.09489	112133	0	0
2022.03.16	1.09491	1.10470	1.09491	1.10310	128099	0	0
2022.03.17	1.10305	1.11376	1.10071	1.10901	85724	0	0
2022.03.18	1.10890	1.11186	1.10031	1.10503	91467	0	0
2022.03.21	1.10504	1.10702	1.10102	1.10188	69638	0	0
2022.03.22	1.10176	1.10458	1.09610	1.10294	85754	0	0
2022.03.23	1.10279	1.10427	1.09641	1.10066	77335	0	0
2022.03.24	1.10052	1.10135	1.09658	1.09982	83700	0	0
2022.03.25	1.09959	1.10380	1.09809	1.09854	82996	0	0
2022.03.28	1.09842	1.09997	1.09447	1.09859	104188	0	0
2022.03.29	1.09834	1.11371	1.09690	1.10858	126457	0	0
2022.03.30	1.10851	1.11710	1.10792	1.11575	109745	0	0
2022.03.31	1.11579	1.11848	1.10613	1.10665	110897	0	0
2022.04.01	1.10656	1.10757	1.10283	1.10447	85774	0	0
2022.04.04	1.10336	1.10543	1.09608	1.09715	69321	0	0
2022.04.05	1.09688	1.09886	1.09000	1.09041	74904	0	0
2022.04.06	1.09029	1.09381	1.08741	1.08956	97599	0	0
2022.04.07	1.08956	1.09382	1.08649	1.08777	88265	0	0
2022.04.08	1.08764	1.08921	1.08364	1.08747	77188	0	0
2022.04.11	1.09159	1.09333	1.08729	1.08829	77468	0	0
2022.04.12	1.08825	1.09035	1.08216	1.08269	98342	0	0
2022.04.13	1.08256	1.08942	1.08090	1.08902	83973	0	0
2022.04.14	1.08897	1.09233	1.07576	1.08286	100620	0	0
2022.04.15	1.08278	1.08303	1.07961	1.08113	56635	0	0
2022.04.18	1.07994	1.08213	1.07702	1.07810	52965	0	0
2022.04.19	1.07805	1.08141	1.07612	1.07877	81502	0	0
2022.04.20	1.07876	1.08667	1.07827	1.08539	88292	0	0
2022.04.21	1.08496	1.09364	1.08239	1.08336	99031	0	0
2022.04.22	1.08368	1.08519	1.07707	1.08009	94056	0	0
2022.04.25	1.08071	1.08145	1.06965	1.07125	122270	0	0
2022.04.26	1.07106	1.07388	1.06353	1.06372	95470	0	0
2022.04.27	1.06363	1.06547	1.05144	1.05573	117332	0	0
2022.04.28	1.05571	1.05646	1.04709	1.04983	134090	0	0
2022.04.29	1.04976	1.05927	1.04906	1.05460	111385	0	0
2022.05.02	1.05421	1.05681	1.04902	1.05072	91871	0	0
2022.05.03	1.05070	1.05775	1.04922	1.05202	89550	0	0
2022.05.04	1.05186	1.06306	1.05060	1.06219	109807	0	0
2022.05.05	1.06196	1.06419	1.04928	1.05410	130526	0	0
2022.05.06	1.05413	1.05987	1.04828	1.05439	146857	0	0
2022.05.09	1.05387	1.05925	1.04954	1.05570	123650	0	0
2022.05.10	1.05570	1.05851	1.05257	1.05281	127047	0	0
2022.05.11	1.05281	1.05770	1.05017	1.05092	134397	0	0
2022.05.12	1.05092	1.05291	1.03540	1.03779	139403	0	0
2022.05.13	1.03779	1.04196	1.03494	1.04077	97846	0	0
2022.05.16	1.03959	1.04430	1.03887	1.04311	81470	0	0
2022.05.17	1.04310	1.05560	1.04276	1.05465	95987	0	0
2022.05.18	1.05465	1.05639	1.04599	1.04609	87927	0	0
2022.05.19	1.04609	1.06073	1.04590	1.05854	115331	0	0
2022.05.20	1.05816	1.05990	1.05328	1.05582	93700	0	0
2022.05.23	1.05601	1.06975	1.05561	1.06881	89168	0	0
2022.05.24	1.06878	1.07489	1.06611	1.07333	96527	0	0
2022.05.25	1.07329	1.07382	1.06418	1.06790	96798	0	0
2022.05.26	1.06775	1.07310	1.06627	1.07239	84272	0	0
2022.05.27	1.07239	1.07651	1.06974	1.07309	76770	0	0
2022.05.30	1.07326	1.07869	1.07243	1.07780	55023	0	0
2022.05.31	1.07756	1.07788	1.06791	1.07326	105538	0	0
2022.06.01	1.07320	1.07390	1.06272	1.06484	91956	0	0
2022.06.02	1.06453	1.07499	1.06405	1.07463	73854	0	0
2022.06.03	1.07443	1.07638	1.07039	1.07165	72795	0	0
2022.06.06	1.07146	1.07516	1.06841	1.06955	60295	0	0
2022.06.07	1.06950	1.07143	1.06523	1.07049	88256	0	0
2022.06.08	1.07036	1.07485	1.06715	1.07157	81423	0	0
2022.06.09	1.07154	1.07739	1.06107	1.06159	108517	0	0
2022.06.10	1.06142	1.06424	1.05060	1.05207	109524	0	0
2022.06.13	1.05137	1.05195	1.03996	1.04076	125903	0	0
2022.06.14	1.04078	1.04848	1.03969	1.04151	137053	0	0
2022.06.15	1.04140	1.05076	1.03591	1.04430	173126	0	0
2022.06.16	1.04412	1.06009	1.03811	1.05483	177338	0	0
2022.06.17	1.05454	1.05602	1.04447	1.04962	150391	0	0
2022.06.20	1.04747	1.05457	1.04727	1.05104	82940	0	0
2022.06.21	1.05104	1.05824	1.05053	1.05318	98780	0	0
2022.06.22	1.05299	1.06054	1.04691	1.05678	117792	0	0
2022.06.23	1.05631	1.05812	1.04827	1.05215	147534	0	0
2022.06.24	1.05225	1.05711	1.05119	1.05534	103535	0	0
2022.06.27	1.05456	1.06149	1.05456	1.05829	109352	0	0
2022.06.28	1.05817	1.06058	1.05033	1.05180	121778	0	0
2022.06.29	1.05170	1.05353	1.04352	1.04411	128083	0	0
2022.06.30	1.04394	1.04891	1.03823	1.04827	134494	0	0
2022.07.01	1.04826	1.04854	1.03657	1.04261	138542	0	0
2022.07.04	1.04146	1.04627	1.04146	1.04221	82163	0	0
2022.07.05	1.04198	1.04488	1.02349	1.02656	140314	0	0
2022.07.06	1.02641	1.02769	1.01618	1.01810	157888	0	0
2022.07.07	1.01797	1.02213	1.01441	1.01587	126061	0	0
